access_index,state_bytes,rss_bytes
15200000,1588514232,2903261184
15300000,1588514232,2903261184
15400000,1588514232,2903261184
15500000,1588514232,2903261184
15600000,1588514232,2903261184
15700000,1588514232,2903261184
15800000,1588514232,2903261184
15900000,1588514232,2903261184
16000000,1588514232,2903261184
16100000,1588514232,2906411008
16200000,1588514232,2903261184
16300000,1588514232,2903261184
16400000,1588514232,2903261184
16500000,1588514232,2903261184
16600000,1588514232,2903261184
16700000,1588514232,2903261184
16800000,1588514232,2902736896
16900000,1588514232,2902736896
17000000,1588514232,2902736896
17100000,1588514232,2901962752
17200000,1588514232,2901606400
17300000,1588514232,2900398080
17400000,1588514232,2900066304
17500000,1588514232,2900090880
17600000,1588514232,2900049920
17700000,1588514232,2899480576
17800000,1588514232,2897489920
17900000,1588514232,2888798208
18000000,1588514232,2887122944
18100000,1588514232,2883780608
18200000,1588514232,2875023360
18300000,1588514232,2845323264
18400000,1588514232,2786078720
18500000,1588514232,2741497856
18600000,1588514232,2741514240
18700000,1588514232,2741518336
18800000,1588514232,2742599680
18900000,1588514232,2742857728
19000000,1588514232,2745753600
19100000,1588514232,2746015744
19200000,1588514232,2746277888
19300000,1588514232,2758074368
19400000,1588514232,2761502720
19500000,1588514232,2766225408
19600000,1588514232,2768334848
19700000,1588514232,2773565440
19800000,1588514232,2773831680
19900000,1588514232,2773831680
20000000,1588514232,2773831680
20100000,1588514232,2773831680
20200000,1588514232,2764419072
20300000,1588514232,2764419072
20400000,1588514232,2751074304
20500000,1588514232,2751422464
20600000,1588514232,2742476800
20700000,1588514232,2725519360
20800000,1588514232,2724282368
20900000,1588514232,2720280576
21000000,1588514232,2714128384
21100000,1588514232,2706055168
21200000,1588514232,2697519104
21300000,1588514232,2696921088
21400000,1588514232,2674126848
21500000,1588514232,2674937856
21600000,1588514232,2675736576
21700000,1588514232,2676555776
21800000,1588514232,2677354496
21900000,1588514232,2678157312
22000000,1588514232,2678960128
22100000,1588514232,2679758848
22200000,1588514232,2680561664
22300000,1588514232,2681360384
22400000,1588514232,2682150912
22500000,1588514232,2682961920
22600000,1588514232,2683793408
22700000,1588514232,2684596224
22800000,1588514232,2660794368
22900000,1588514232,2656239616
23000000,1588514232,2628304896
23100000,1588514232,2623324160
23200000,1588514232,2624270336
23300000,1588514232,2625040384
23400000,1588514232,2625482752
23500000,1588514232,2614730752
23600000,1588514232,2603810816
23700000,1588514232,2594922496
23800000,1588514232,2589093888
23900000,1588514232,2590150656
24000000,1588514232,2598617088
24100000,1588514232,2603032576
24200000,1588514232,2609029120
24300000,1588514232,2609594368
24400000,1588514232,2610421760
24500000,1588514232,2612039680
24600000,1588514232,2613686272
24700000,1588514232,2619719680
24800000,1588514232,2620551168
24900000,1925976632,2869895168
25000000,2032892376,2976927744
25100000,2057793960,3004301312
25200000,2148648280,3085783040
25300000,2233023400,3144781824
25400000,2276263208,3147161600
25500000,2280425384,3105071104
25600000,2379316256,3207323648
25700000,2419708784,3250900992
25800000,2422330224,3219685376
25900000,2503626944,3304009728
26000000,2522566464,3342041088
26100000,2528966464,3376386048
26200000,2581462304,3426734080
26300000,2629848112,3458252800
26400000,2634802992,3453562880
26500000,2636713328,3431550976
26600000,2637847536,3402551296
26700000,2642026288,3378380800
26800000,2647602992,3362889728
26900000,2669001632,3370586112
27000000,2744926784,3391623168
27100000,2745997568,3410796544
27200000,2755193696,3406307328
27300000,2758347680,3407310848
27400000,2758347680,3408113664
27500000,2758347680,3408916480
27600000,2761282784,3412684800
27700000,2761703136,3413913600
27800000,2766951520,3420053504
27900000,2770882784,3424686080
28000000,2771769504,3426324480
28100000,2771769504,3427344384
28200000,2771769504,3428151296
28300000,2771769504,3438460928
28400000,2771769504,3447209984
28500000,2771769504,3448377344
28600000,2771769504,3449171968
28700000,2771769504,3449974784
28800000,2771769504,3450765312
28900000,2771769504,3451576320
29000000,2771769504,3452370944
29100000,2771769504,3454849024
29200000,2771769504,3455811584
29300000,2771769504,3456610304
29400000,2771769504,3457404928
29500000,2771769504,3458211840
29600000,2771769504,3459006464
29700000,2771769504,3459809280
29800000,2771769504,3460612096
29900000,2771769504,3461410816
30000000,2771769504,3462205440
30100000,2771769504,3463012352
30200000,2771769504,3463806976
30300000,2771769504,3466752000
30400000,2771769504,3470958592
30500000,2771769504,3471974400
30600000,2771769504,3472773120
30700000,2771769504,3473575936
30800000,2771769504,3469635584
30900000,2771769504,3470462976
31000000,2771769504,3471261696
31100000,2771769504,3472064512
31200000,2771769504,3472863232
31300000,2771769504,3473657856
31400000,2771769504,3474464768
31500000,2771769504,3475259392
31600000,2771769504,3476062208
31700000,2771769504,3476865024
31800000,2771769504,3477663744
31900000,2771769504,3478462464
32000000,2771769504,3479252992
32100000,2771769504,3480064000
32200000,2771769504,3480858624
32300000,2771769504,3481661440
32400000,2771769504,3482456064
32500000,2771769504,3483254784
32600000,2771769504,3484061696
32700000,2771769504,3484864512
32800000,2771769504,3485663232
32900000,2771769504,3486461952
33000000,2771769504,3487264768
33100000,2771769504,3488063488
